,OXO-5FI635C Augusta
OXO-5FI661A Augusta,0.4414826812687417
OXO-5FI696 Augusta,0.7003829225865954
OXO-5FIC132 Augusta,-0.09770901267319407
OXO-5FIC600 Augusta,0.21415297124841462
OXO-5FIC601 Augusta,0.36219224384967097
OXO-5FIC602 Augusta,0.37844473853707405
OXO-5FIC606C Augusta,0.22233972849182557
OXO-5FIC609B Augusta,-0.16629694457819816
OXO-5FIC611A Augusta,0.20776166925186854
OXO-5FIC612A Augusta,0.2610269931787019
OXO-5FIC612B Augusta,0.7141788101241769
OXO-5FIC618A Augusta,0.22696053257931073
OXO-5FIC618B Augusta,0.5085307667345362
OXO-5FIC618C Augusta,0.5331160469571725
OXO-5FIC618D Augusta,-0.06249272531676407
OXO-5FIC622A Augusta,0.004756151808536101
OXO-5FIC622B Augusta,0.5362196490735328
OXO-5FIC622C Augusta,0.7247733302792871
OXO-5FIC636A Augusta,-0.3029505006721658
OXO-5FIC636B Augusta,-0.18426977598778593
OXO-5FIC636C Augusta,0.7904877093372966
OXO-5FQI691B Augusta,-0.2199018758740186
OXO-5LI633B Augusta,0.378486249966779
OXO-5LI650F Augusta,0.059933735764196194
OXO-5LI651E Augusta,0.22595624495735595
OXO-5LI651F Augusta,0.21923501484207686
OXO-5LI652E Augusta,-0.08617910405466021
OXO-5LI653E Augusta,-0.15355205586391618
OXO-5LI653F Augusta,-0.1444293575859866
OXO-5LI654E Augusta,-0.32854013476192445
OXO-5LI655F Augusta,0.20278412968087015
OXO-5LI656F Augusta,-0.20593648774849654
OXO-5LI657E Augusta,0.4080518386135881
OXO-5LI657F Augusta,0.06253562780446356
OXO-5LI658E Augusta,-0.10700354157014039
OXO-5LI658F Augusta,0.04154968991264859
OXO-5PIC605A Augusta,0.2615749736004295
OXO-5RIC606_Y Augusta,0.194558198549781
OXO-5TIC002 Augusta,-0.1205812023575967
OXO-5TIC601 Augusta,0.44282774677125036
OXO-5TIC602 Augusta,-0.7047156520568508
OXO-5TIC603 Augusta,-0.6068939498853372
OXO-5TIC604 Augusta,-0.4928484472016817
OXO-5TIC605 Augusta,-0.5410639737455892
OXO-5TIC606 Augusta,-0.4189734825123213
OXO-5TIC607 Augusta,-0.270505686480204
OXO-5TIC659 Augusta,-0.1532995246798045
OXO-_5FI658A Augusta,0.46467536676890114
OXO-_5FI659A Augusta,0.43842416406585477
OXO-_5FI660A Augusta,0.45396069730720806
OXO-_5FI662A Augusta,0.43460732151579684
OXO-5FI635C Augusta,1.0
