,OXO-5FI661A Augusta,OXO-5FI696 Augusta,OXO-5FIC132 Augusta,OXO-5FIC600 Augusta,OXO-5FIC601 Augusta,OXO-5FIC602 Augusta,OXO-5FIC603 Augusta,OXO-5FIC606C Augusta,OXO-5FIC607 Augusta,OXO-5FIC609A Augusta,OXO-5FIC609B Augusta,OXO-5FIC611A Augusta,OXO-5FIC612A Augusta,OXO-5FIC612B Augusta,OXO-5FIC618A Augusta,OXO-5FIC618B Augusta,OXO-5FIC618C Augusta,OXO-5FIC618D Augusta,OXO-5FIC622A Augusta,OXO-5FIC622B Augusta,OXO-5FIC622C Augusta,OXO-5FIC636A Augusta,OXO-5FIC636B Augusta,OXO-5FIC636C Augusta,OXO-5FQI691B Augusta,OXO-5LI633B Augusta,OXO-5LI650F Augusta,OXO-5LI651E Augusta,OXO-5LI651F Augusta,OXO-5LI652E Augusta,OXO-5LI652F Augusta,OXO-5LI653E Augusta,OXO-5LI653F Augusta,OXO-5LI654E Augusta,OXO-5LI655F Augusta,OXO-5LI656F Augusta,OXO-5LI657E Augusta,OXO-5LI657F Augusta,OXO-5LI658E Augusta,OXO-5LI658F Augusta,OXO-5PIC605A Augusta,OXO-5RIC606_Y Augusta,OXO-5TIC002 Augusta,OXO-5TIC601 Augusta,OXO-5TIC602 Augusta,OXO-5TIC603 Augusta,OXO-5TIC604 Augusta,OXO-5TIC605 Augusta,OXO-5TIC606 Augusta,OXO-5TIC607 Augusta,OXO-5TIC659 Augusta,OXO-_5FI658A Augusta,OXO-_5FI659A Augusta,OXO-_5FI660A Augusta,OXO-_5FI662A Augusta,OXO-5FI635C Augusta
OXO-5FI661A Augusta,1.0,0.23117734751667837,0.3377968274916519,0.7728143782837107,0.8695608095260807,0.3733993486273083,,-0.3342560256286857,,,-0.04881544435776595,-0.3538493301109753,0.071220518020492,0.6721871573452638,0.49670298095361776,0.49387761984494155,0.4809248422494115,0.04704019815098092,-0.22436276012381162,0.8542106840431816,0.2504205839349984,-0.34798927367632165,-0.21507088248760842,0.34459812554112546,-0.8561809182109045,0.8163440508252388,0.2856945637821404,0.8652257157940241,-0.0625764679817167,-0.1757564602502869,,-0.7981405790548788,-0.8109642427267694,-0.671157283688223,0.6055614495279301,-0.8804319058113987,0.709050928467422,-0.46896410642187003,0.17725663723817914,-0.7115050839404059,0.1444976875055357,-0.13869442063368848,0.08855116253215622,0.8422464915922594,-0.659799759433628,-0.5390808245921321,-0.4595332985862035,-0.48085710969140943,0.0030201337732640855,0.05011264648117391,-0.12977816103526418,0.9879909278310783,0.9919547085947871,0.9700313014062063,0.985202273732135,0.4414826812687417
OXO-5FI696 Augusta,0.23117734751667837,1.0,0.09872945086168258,0.0782266648063091,0.1406472525925752,0.6185941355239293,,0.3146178640444754,,,-0.29058252209027075,0.3125913968858525,0.30692128335784685,0.6807111028032595,0.28648821079028,0.4607251000113568,0.46459921623565564,-0.05843337703209654,0.05532032075911757,0.31678148940156103,0.5487982724972768,-0.1254684104054248,-0.19364178929555145,0.8284375531033298,-0.01425038800585792,0.16125812365834089,-0.19176341918265224,0.023933734968792114,0.22485986740517214,-0.04480552616248694,,-0.026488691840299984,-0.01413000478006876,0.013590670336973283,0.06827505021988704,-0.02029200410968152,0.33356191433637317,0.2482828875489682,-0.37865928521719155,0.2238562457496429,0.08179336205946802,0.11756151457759749,0.019443305218676075,0.23269935787213003,-0.5461134714485372,-0.5448651001293489,-0.4002994118621245,-0.4646166445575176,-0.387881611899893,-0.3945619692595657,0.032655299895455445,0.26275449135293416,0.23271352940373372,0.2564189521581694,0.23645520664917652,0.7003829225865954
OXO-5FIC132 Augusta,0.3377968274916519,0.09872945086168258,1.0,0.475178844790589,0.3031578420992616,0.3880491529105055,,-0.23431489597354,,,-0.1737777268123149,-0.19933347529866288,0.03507532106263009,0.2917159692863449,0.6594879025447216,0.16653919670845047,0.14975693126021442,-0.108673680010742,-0.14968240027872456,0.07084771232218927,-0.3140575941250432,0.0984828382100453,0.0181394668168378,-0.17125717040099192,-0.4274883767767553,0.18584152196627932,-0.15990906371748673,0.3838245371984057,-0.11716065823992712,0.01403013846957516,,-0.5422781624528514,-0.5483175962128477,0.2243080673608527,0.24618201780429197,-0.4505541580379569,0.2748377921277199,-0.30327709299238786,-0.2292967219554713,-0.32566664200355966,-0.12601457040751976,-0.557931876318981,0.06872703279933416,0.2573974864273593,-0.11147973300939736,-0.2817812601496829,0.059208481869964885,-0.018515882576149088,0.27570297962060986,0.015061900820710697,0.09346255972123817,0.32566989860203727,0.331185784754141,0.3337378818488289,0.3746903773136289,-0.09770901267319407
OXO-5FIC600 Augusta,0.7728143782837107,0.0782266648063091,0.475178844790589,1.0,0.8320152356845512,0.33166679790928977,,-0.369576446593003,,,0.05915725335530944,-0.42944339883305627,0.10939777547838833,0.4742061998578364,0.4145912403364144,0.12525617023904723,0.3608683281937452,-0.01198407019062637,-0.2516243566797175,0.6189572829972605,0.07892403460889727,-0.2840637629998551,-0.12496567794392884,0.07891017623787817,-0.8166429131050975,0.7644015290955344,0.24404103243503156,0.8384489479694476,-0.1901425426410864,-0.0865391408682981,,-0.8336246353959803,-0.8510542390686193,-0.49832926981710357,0.4446030457589894,-0.8618745264058182,0.6098345951055224,-0.49527551445079093,0.23395636163850622,-0.7608642817583336,0.12176284625611611,-0.37493953583219297,0.06777089960507612,0.7662142582151665,-0.47316996957495255,-0.22137890620153988,-0.34553266016313505,-0.28457088290790983,0.21809451558141418,0.24433997187199644,-0.10275092955507108,0.7619805595049274,0.7612635687630868,0.7589704150341509,0.7569010311184583,0.21415297124841462
OXO-5FIC601 Augusta,0.8695608095260807,0.1406472525925752,0.3031578420992616,0.8320152356845512,1.0,0.22001674601348287,,-0.3674998039082611,,,0.17789694955112118,-0.38504360964750073,0.08635403182919121,0.5057743245362543,0.29846227692138066,0.31619435879709773,0.2978411152288306,0.06010771811113026,-0.22896103024458764,0.7993349077770641,0.17351597437975466,-0.34715718210328156,-0.17177745139456785,0.28799894829200073,-0.861972772687394,0.9445000435031778,0.2875226051299215,0.8746024222999181,-0.10155364618724137,-0.17016777903783573,,-0.797046147669325,-0.8136172519259826,-0.6849471203879413,0.5887570915306988,-0.8802925096085156,0.6839512997359707,-0.5091349142760333,0.22951416183297527,-0.7596330356510002,0.07211833969979972,-0.08529378741871389,0.04091281893215646,0.9662064049231983,-0.7239056980208913,-0.4024989915843931,-0.5783683772244733,-0.5151869666057843,0.013856378209465562,0.16759691199648302,-0.025667532491849703,0.8616881876276641,0.8724513738356284,0.8465445563159479,0.8740395555401127,0.36219224384967097
OXO-5FIC602 Augusta,0.3733993486273083,0.6185941355239293,0.3880491529105055,0.33166679790928977,0.22001674601348287,1.0,,0.011927661087774127,,,-0.4411791896523455,0.018998282415632537,0.222614101184881,0.7505336946629779,0.5019548155365289,0.4460042178792572,0.451799376563198,-0.06809047773414674,-0.1138742221132756,0.2899285472730778,0.2872658142117286,-0.16340621103955166,-0.2912009083442452,0.5145328624077454,-0.24193294068790847,0.21037487101200558,0.11610299348306868,0.28283029989069963,-0.013563142716622642,-0.07810020442547362,,-0.27772528475995156,-0.2773983956856006,-0.08061623074378153,0.21591340558491273,-0.286843844379195,0.4604405260399301,0.036222548697807846,-0.08199011273566646,-0.08043305979520901,-0.04525414905362803,-0.16524841853711486,0.10895696355964822,0.22425438699260197,-0.3703806729403863,-0.39213559687119626,-0.2383347349883263,-0.2864968035096563,-0.12152242076964573,-0.3052866473832044,0.05892340896634807,0.40741138574721797,0.3596645686756418,0.4133712056903401,0.38560954156969085,0.37844473853707405
OXO-5FIC603 Augusta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OXO-5FIC606C Augusta,-0.3342560256286857,0.3146178640444754,-0.23431489597354,-0.369576446593003,-0.3674998039082611,0.011927661087774127,,1.0,,,-0.37954906816421746,0.9095208049645289,0.589326177223421,-0.049282214670872036,-0.2109082452438454,-0.2873259722576265,-0.0008630233868546707,-0.15162105754355337,0.4251364372515281,-0.1936552768684027,0.2905203617229622,0.4426852025363023,0.49283260691879816,0.12723313649413884,0.2792157314195261,-0.38708795836433596,-0.25370989603342187,-0.34965774972990865,0.7179261175731556,-0.29326241818254806,,0.16758988988762977,0.23119266129301622,0.28532139061379125,-0.4098650310654068,0.4098064884007884,-0.21691200962000767,0.629431441861633,-0.6438118042197536,0.7643988477783449,0.07880659083102054,-0.10675299516821925,-0.10812769736564032,-0.3426455604783873,0.06083391274602966,-0.033630810305738855,0.30275931804904904,0.26970251761819397,0.09498232716343426,0.0781922969799146,-0.03676965317000195,-0.37777775704307404,-0.3458867217140834,-0.32862735664040116,-0.32399546013597563,0.22233972849182557
OXO-5FIC607 Augusta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OXO-5FIC609A Augusta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
