,OXO-5FI635C Augusta,OXO-5FI661A Augusta,OXO-5FIC132 Augusta,OXO-5FIC600 Augusta,OXO-5FIC601 Augusta,OXO-5FIC602 Augusta,OXO-5FIC603 Augusta,OXO-5FIC606C Augusta,OXO-5FIC607 Augusta,OXO-5FIC609A Augusta,OXO-5FIC609B Augusta,OXO-5FIC611A Augusta,OXO-5FIC612A Augusta,OXO-5FIC612B Augusta,OXO-5FIC618A Augusta,OXO-5FIC618B Augusta,OXO-5FIC618C Augusta,OXO-5FIC618D Augusta,OXO-5FIC622A Augusta,OXO-5FIC622B Augusta,OXO-5FIC622C Augusta,OXO-5FIC636A Augusta,OXO-5FIC636B Augusta,OXO-5FIC636C Augusta,OXO-5FQI691B Augusta,OXO-5LI633B Augusta,OXO-5LI650F Augusta,OXO-5LI651E Augusta,OXO-5LI651F Augusta,OXO-5LI652E Augusta,OXO-5LI652F Augusta,OXO-5LI653E Augusta,OXO-5LI653F Augusta,OXO-5LI654E Augusta,OXO-5LI655F Augusta,OXO-5LI656F Augusta,OXO-5LI657E Augusta,OXO-5LI657F Augusta,OXO-5LI658E Augusta,OXO-5LI658F Augusta,OXO-5PIC605A Augusta,OXO-5RIC606_Y Augusta,OXO-5TIC002 Augusta,OXO-5TIC601 Augusta,OXO-5TIC602 Augusta,OXO-5TIC603 Augusta,OXO-5TIC604 Augusta,OXO-5TIC605 Augusta,OXO-5TIC606 Augusta,OXO-5TIC607 Augusta,OXO-5TIC659 Augusta,OXO-_5FI658A Augusta,OXO-_5FI659A Augusta,OXO-_5FI660A Augusta,OXO-_5FI662A Augusta,OXO-5FI696 Augusta
OXO-5FI635C Augusta,3.344044184306288,0.3224933626547699,0.16881178385016993,0.22444570779346584,0.14151032524820595,0.23586701929995213,0.0,0.0,0.0,0.0,0.20645914154909129,0.03278880521147398,0.0,0.48898253519271107,0.16271718989399053,0.5126410409686764,0.48578162498192157,0.14531462900355718,0.010023188946487682,0.3560856565387347,0.6324864950539948,0.14564267556224797,0.10410074479432119,0.422046060762018,0.43342697697067445,0.08429673872785637,0.030556054440095792,0.391048286596809,0.046880268394621005,0.0,0.0,0.5877624936371881,0.5141560219188146,0.3410350924405767,0.3624955661571727,0.3901595262367019,0.27309607611808984,0.10579953810127263,0.11753676305692773,0.04002904835424248,0.0,0.4531588674421294,0.05279398794773149,0.2764189036549536,0.45017235324741733,0.25420959371998464,0.37772685185298727,0.18514743507476128,0.2711062501706736,0.33359980938391853,0.0,0.2981116722116699,0.37766953158867844,0.27949408663569564,0.30680813499424753,0.4495790806354947
OXO-5FI661A Augusta,0.3224933626547699,3.344044184306288,0.4610065007563722,0.5448846679168193,0.5757024262759174,0.3865900191896796,0.0,0.004426609542147908,0.0,0.0,0.5205322415309972,0.07960681837559047,0.1348258041895649,0.8321749501708191,0.5641734730713073,0.6035944894307028,0.6043902657477802,0.0860928879918137,0.08062273674260734,0.8231082784507837,0.3749366597835584,0.24935531379236142,0.16411232063516357,0.4063969788610762,0.8984321831346249,0.48287451394528613,0.00870799352030538,0.8432465831681304,0.01567849016697398,0.0,0.0,0.9389163021068461,0.9003496961516002,0.5776298144900753,0.7002315459305364,0.8096429665109723,0.5497392830357053,0.2206144088308708,0.3639001917837028,0.5519077326991493,0.0811463159152539,0.7141893570042099,0.05112605842980722,0.6834409190097137,0.6684274820227096,0.3035491059154949,0.6715304500614021,0.32487285454144077,0.6311299919263669,0.646122670791319,0.0,1.7935410681414075,2.062406750132947,1.648086743269396,1.6037811723504007,0.7183676137680495
OXO-5FIC132 Augusta,0.1688117838501697,0.46100650075637195,3.3298775176396207,0.16493898870791357,0.31695974431115936,0.40645509158811155,0.0,0.0662055937032453,0.0,0.0,0.4387805824616755,0.13068206652829684,0.20174351094037446,0.6546623582665527,0.6093220671861863,0.5392316710063969,0.4297514128223985,0.06758034327858176,0.09348248946696325,0.5277731783625483,0.19778198256280333,0.2699048245288149,0.22895657446291962,0.47526481878281124,1.1468331535065555,0.316011288472112,0.0,0.8042708837612764,0.05980157774110184,0.05372734306044036,0.0,0.6948034134672256,0.7453454266060333,0.8176942790218704,0.39537537057990035,0.9295098738708665,0.20091057483282948,0.07568791664220798,0.18468930291559693,0.3541298479178896,0.11252773443008124,0.43577107138167026,0.020430007226419855,0.19466420955575847,0.34371431148929,0.318789784862588,0.31434265690117646,0.1910239885680589,0.29998923672657085,0.18873816896749407,0.0,0.46311591010166975,0.38296688370777887,0.5330885152681508,0.41411938405080373,0.5021343720028795
OXO-5FIC600 Augusta,0.22444570779346584,0.5448846679168193,0.16493898870791357,3.344044184306288,0.6071069998576522,0.2845853131636491,0.0,0.22534429804994272,0.0,0.0,0.4218085270566383,0.3030130912727427,0.08213748070127203,0.5233625703959857,0.45295194838991515,0.4777091351279421,0.446210841407916,0.01769566870501693,0.11086131178721592,0.4168961386524286,0.2617586483450087,0.29832792314919043,0.1978201554276784,0.44539718940588013,0.6914145988800189,0.4181635216606452,0.0,0.767037517407676,0.18442825878635682,0.06300806372613543,0.0,0.9306740133619145,0.925454927456133,0.5102767047582604,0.46604432263567164,0.7837917050823688,0.5326496737440825,0.1544090951688757,0.40639660665183897,0.600479814163299,0.0,0.46807354212052,0.0,0.6421822507255674,0.6548881100545376,0.32475209473829736,0.5325504384065813,0.23704723379398507,0.5314562569196868,0.5866974742397213,0.0,0.5357421812827874,0.597373367477041,0.6068660959084968,0.47011324398937093,0.4352373632931834
OXO-5FIC601 Augusta,0.14151032524820595,0.5757024262759174,0.31695974431115914,0.6071069998576522,3.3440441843062887,0.1970372105958531,0.0,0.21216802731441708,0.0,0.0,0.48707873372801114,0.17198843696586952,0.1162497465343244,0.7626538359187749,0.25199769985443865,0.5437235143837023,0.5762062706939797,0.0343662920777521,0.07790777454009223,0.5173406991649991,0.2517263120540143,0.2985190285714583,0.17116994509821337,0.45015653253454513,0.785200539261282,0.5780658016377114,0.0,0.921518628661923,0.14058834509437768,0.0785156369442408,0.0,0.8910783481798363,0.878246313663708,0.6221532441768698,0.4823224005418678,0.8312754366891577,0.3616865626591119,0.46589270187895515,0.2228065751210191,0.6794800289255576,0.03605041480304605,0.5608945265921661,0.0,0.5366120349755348,0.842669962719989,0.4427559918491406,0.7320449863174869,0.3160562730007155,0.5695282703793634,0.6114835211187746,0.029688838099330983,0.6146990757292172,0.6615409141923014,0.561167712409057,0.5247428046064946,0.4493563562166156
OXO-5FIC602 Augusta,0.23717764648358353,0.38714557474523503,0.4039550915881116,0.28405899737417517,0.1980689566275995,3.3257108509729543,0.0,0.0,0.023443851414832295,0.0,0.3382260909899455,0.08283208093490524,0.04520008940137421,0.7199226219582755,0.7096733857531814,0.6429590903109279,0.9251526331621875,0.0278738156282472,0.044359797536133616,0.6404080146726252,0.44207859927708437,0.11525027963812118,0.20997436591678253,0.7644643511220572,0.9031427182414848,0.2993703746815717,0.0,0.5899832397033156,0.21722997624084295,0.005140529070351008,0.00229655924110439,0.8957768786773834,0.8482558422313888,0.9898143592056856,0.48988820317611603,0.5977627226451858,0.39979568426247614,0.06643857416746624,0.3265599715704255,0.16077937071306714,0.08816081451330327,0.5996113263407219,0.11273383720965224,0.49089655747137284,0.4124729269317031,0.42635068204645776,0.5275892485022613,0.4672763852559001,0.293677690446684,0.32466446800820803,0.0505052442056364,0.3998089786030632,0.2965306013607365,0.22619854905646308,0.2617048484419944,0.790126055783944
OXO-5FIC603 Augusta,0.0,0.0,0.0,0.0,0.0,0.01669742376775063,0.0,0.00010101010100815877,0.05910096834754386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018176486404369863,0.0,0.0,0.0,0.0,0.0,0.0,0.12630049415257916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXO-5FIC606C Augusta,0.0,0.00663520167465359,0.065007791505443,0.22638479981683712,0.21144580509219502,0.0,0.0005113204685169848,3.271210850972955,0.0,0.004237969475537895,0.1660062672342657,0.9282010170171762,0.41182481445053654,0.10982328729017299,0.18250622511365933,0.33523650211724565,0.2907730122273269,0.0,0.26955939951263064,0.10874895069573176,0.09691140318358693,0.2944752587038777,0.21836363140987425,0.18323798978933414,0.21556648653428434,0.11172198456801175,0.003945545917554583,0.34520459718161645,0.9991339062039808,0.12843389550903916,0.00030614370083981157,0.5179569930662948,0.506899155948592,0.2173677464369832,0.35854027899799057,0.30504204739738006,0.055071087374718886,0.3647094232066821,0.3936501363887186,0.5156987476932331,0.04004446999036437,0.0,0.0,0.14830509326865116,0.2948623225790574,0.10135100281112885,0.09959524425885835,0.09653657158215001,0.12354870651394245,0.28291552806775133,0.08588701437011448,0.19031094738551113,0.1243460649829875,0.08362107939885366,0.07913515652538061,0.1726550537658329
OXO-5FIC607 Augusta,0.0,0.0,0.0,0.0,0.0,0.0072707427174969474,0.006545410083981462,0.0008239767061459791,0.07503056690077914,0.0,0.0,0.0,0.03871101067137617,0.0,0.0,0.0,0.0,0.0,0.008332945285608684,0.0,0.0,0.04208339734127753,0.046572972576699456,0.0,0.05208575768866397,0.12284145499603438,0.0,0.0,0.0,0.0,0.012712626325961818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXO-5FIC609A Augusta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0709431387314643,0.041560342163210695,0.0,0.0,0.008362662998375292,0.0,0.0,0.0,0.0,0.0,0.005477880462088525,0.0,0.0,0.03910419254515918,0.052098857947942,0.0,0.0,0.0,0.1374301980590258,0.0,0.0,0.0,0.04573822684396012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
