,Mode,ProgressType,Type,StateType,LoadingPosition,Plan,ShipmentType,EquipmentType,EquipmentLength,EquipmentWidth,EquipmentHeight,MinTemp,MaxTemp,TotalValue,Miles,TotalWeight,Tarps,Repeat,TankerUnload,TankerVolume,TankerVolumeUnit,NumStops,TotalPallets,LoadCommodityMasterLinkID,Concealed,Team,Private,Rolled,TankerContainer,TankerLiquid,TankerFood,TankerReefer,TankerHazMat,Hot,Liquor,TWIC,TMSPrivateCarrier,Govt,HRHV,Seal,OriginFacilityID,DestinationFacilityID,OriginCityID,GeneralOriginCityID,DestinationCityID,GeneralDestinationCityID,OriginLatitude,OriginLongitude,DestinationLatitude,DestinationLongitude,TotalRateUSD,NormalizedRank,Normalized_EQ,BizUnit,BookType,BuildType,SalesStatus,IsCustomerHighPriority,IsCommodityStackable,CommodityID,TimeTravel,TimeNegotiate,LoadDate-Weekday,LoadDate-Month,LoadDate-Day,DelDate-Weekday,DelDate-Month,DelDate-Day,CreateDate-Weekday,CreateDate-Month,CreateDate-Day,MXCrossBorder,CACrossBorder,Volume_Last_30,Avg_Cost_Last_30,Avg_Rate_Last_30,NTIBooked,NTIAssumed,TenderVolume,S/D Ratio,Avg_Weight_Last_14,Avg_Dist_Last_14,USD/Mile,Avg_Cost_Last_14,Avg_Rate_Last_14,Cost_Volatility_Last_14,Rate_Volatility_Last_14,TRUCKD11,DJTA,DTB3,GASREGW,IPG2122N,IPG3361T3S,GDP,PPIACO,BUSINV,PCU48414841,TotalCostUSD
Mode,1.0,0.4962291378383728,-0.003346604663688961,,-0.4915022669125506,0.4644759201668476,0.0766245020705936,-0.09191685643270894,0.011198852732428754,-0.21185845600308842,-0.17035381471181862,-0.22930318809319253,-0.22929721829399327,-0.3535633847600376,0.17974703291724115,-0.5559113175567002,-0.17949147068597357,-0.29678177663276,,,,0.12212935958500673,-0.05528399415079359,-0.08236867715210204,-0.03541266250833894,-0.10428554697758698,-0.03541266250833893,-0.08775937062380612,,,,,,0.14911299434956102,,-0.020424529713063168,-0.13857112899278168,,-0.05797779417104911,-0.34324489771267036,0.3066509507138925,0.26708392594913855,-0.008245028187780687,-0.06579566846070108,-0.052317821745617187,-0.055387615303778316,0.04835889663219244,-0.01765995943795338,0.04741906073368865,-0.012963130154722056,-0.27251832945292476,-0.13338656847918962,-0.26512363151404983,-0.05826646852310923,-0.14098108636240314,-0.48592025474696116,-0.1939834979353251,,0.377685983161532,,0.49554248879506113,-0.2065134414835332,-0.2726796281094452,0.08400064775969908,-0.16101726495878946,-0.13445104114436754,-0.12660377503220555,-0.05326179500779636,,,,-0.10550650688287547,-0.07278954992619126,,,,,,,,,,,,,,,,,,,,,,,,,-0.24731612633942424
ProgressType,0.4962291378383728,1.0,-0.0671153237702167,,0.10057741788629798,0.9118734537006913,-0.058537138786335326,0.349417161297157,-0.04180729703446042,-0.04693864299009509,-0.03774301503756032,-0.06461503733152198,-0.06463695540928392,0.07060683218361548,0.14931356127523257,0.01742384994110551,-0.046718105835943706,0.03184952007080502,,,,0.416984305663859,-0.01151543634105158,-0.03059037690967928,-0.007845909736939653,-0.025591989148674804,-0.00784590973693969,-0.025938122251821773,,,,,,-0.01641714495714131,,-0.004525189725861364,-0.030701350681191637,,-0.012845363991080888,-0.041127042658821444,-0.021176020045073147,-0.051919763724292606,-0.03370104376141833,-0.024758925520993014,0.052738753093827445,0.03722143237649153,-0.01114188980101264,-0.15220350297729057,0.026458796710213502,-0.05614440629305169,0.20690011482051454,0.10077406841241196,-0.07304421514328059,-0.012909321704204163,0.06522237073713635,-0.015256216857977506,0.14336053970919088,,-0.045309384341619574,,0.3070843152035904,0.02747035162777182,-0.008945748015849785,0.0077516631580052805,0.0042208994613983815,-0.02720993172356483,-0.21614542332693695,-0.12519754873060782,,,,-0.023375664833671535,-0.01936834882984519,,,,,,,,,,,,,,,,,,,,,,,,,0.23010122748110928
Type,-0.003346604663688961,-0.0671153237702167,1.0,,0.07996685255684728,-0.057144145002090856,0.2867402540014704,0.02188652567710335,-0.0161197060922807,-0.0703257324565531,-0.05229193606105765,0.015299962701793268,0.015328523878797733,0.023888667515182767,-0.06310165547523139,-0.04337032076458701,0.04303469562993636,-0.11180730593394467,,,,-0.009215512716041936,-0.017691513984645486,0.2469858974620528,-0.019176203702117197,0.12680616846337056,-0.019176203702117207,-0.02379099217686062,,,,,,-0.04012517687058167,,-0.011060025272186623,0.18103388306241952,,0.005433815744609876,-0.06989574567590774,-0.07993121480741992,-0.09898297780193277,-0.028466451477352602,-0.05241907268969365,-0.013077219081338411,0.024118624364919516,-0.03055058269964313,-0.07309105742753326,-0.03982733082155491,-0.04373296183088355,-0.10512969837598071,0.347964513187011,0.03952043768218828,0.2645488611185435,0.05813546669379576,0.0776636200007862,-0.3783728438729228,,-0.11074075701657331,,-0.04841098959000653,0.06180383568893888,-0.05739042385134266,-0.06265981739350963,-0.021014739005409743,-0.019827494906466663,-0.005342108853580256,0.005433704518333839,,,,0.004732870587728232,-0.04733822016663241,,,,,,,,,,,,,,,,,,,,,,,,,-0.08665295881932258
StateType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoadingPosition,-0.4915022669125506,0.10057741788629798,0.07996685255684728,,1.0,0.09096262158514888,-0.13375825086396403,0.23287237309981607,-0.024252993314993383,0.1502387055197453,0.13712783919237237,0.12837808995343383,0.1283474595982053,0.5100867845241845,-0.05449602510267527,0.412139624460434,0.056461052228586,0.21985458972691777,,,,0.06942989264701724,0.039900725825259206,0.022512553458078434,0.0305248728584808,0.09956681138975501,0.030524872858480833,0.016658054325000424,,,,,,-0.21074833372694174,,0.017605458853558607,0.06108581793972154,,0.023116411306853542,0.3434948928340483,-0.3423493978088995,-0.38762556698041417,-0.05379879736653758,0.02210738080788294,0.0663526031595569,0.06389419466987734,-0.03639039877401985,0.029146490618072035,-0.007190097133033308,-0.006518753109536305,0.31069742301464337,0.27805690005090195,0.1470997472598822,0.05022431010833384,-0.05528159263567338,0.430454116616577,0.14043235868098175,,-0.27347576643134025,,-0.21506883393366347,0.1567190383634024,0.22393520575968592,-0.0024896271518379015,0.14717414987749555,0.11955854453461594,0.04127550635947374,0.025295155069731644,,,,0.04582645753732687,0.021355677391584806,,,,,,,,,,,,,,,,,,,,,,,,,0.30082872753326634
Plan,0.4644759201668476,0.9118734537006913,-0.057144145002090856,,0.09096262158514888,1.0,-0.04848959111209271,0.32847038609163737,-0.06770737806101201,-0.016824344822613,0.0015709930000673894,-0.06106715067242421,-0.061067123521254714,0.06280012235851896,0.1453852643538682,0.022200113340688978,-0.02191824621900805,0.06112623135831587,,,,0.35812349003693644,-0.007830620382324113,-0.037904236588793314,-0.009187926644525564,0.0025669019981948427,-0.00918792664452557,0.0007055892915817425,,,,,,-0.019225243296973085,,-0.005299208459922145,-0.03595271516043058,,-0.015042521011504387,-0.05567210992436807,-0.009777292200274896,-0.030711781502329567,-0.039055353725597965,-0.0350812224812462,0.09366791018428536,0.06042549534951046,-0.011118903927392577,-0.12510685765219884,0.02105790766461671,-0.058704240769614884,0.2037363728998789,0.07877815959196435,-0.07037220320583702,-0.015117418479896054,0.07210857038309952,-0.009030976328447154,0.1168223963670281,,-0.053059404657615813,,0.272299461997767,0.04958911147479863,-0.013450205725561291,-0.0037954063429567184,0.00046675817496839346,-0.028988936069457703,-0.20725707937603677,-0.12705985065984193,,,,-0.02737399498079879,-0.02268124083002928,,,,,,,,,,,,,,,,,,,,,,,,,0.2226397743106833
ShipmentType,0.0766245020705936,-0.058537138786335326,0.2867402540014704,,-0.13375825086396403,-0.04848959111209271,1.0,-0.1398352152340082,-0.030110366151464674,-0.06513100905103866,-0.02953676108403054,-0.04785117605027747,-0.04783027967909957,-0.13477033217431675,0.08285377821961641,-0.11069647174345966,0.19628153090062184,0.2748146907281824,,,,0.12329220602564013,-0.041472700843793786,-0.008684126967699901,0.010856044328100839,0.008992031647946767,-0.005882501113015197,-0.09409776564114683,,,,,,0.022715690005516005,,0.006261308363736059,-0.033438684966684826,,-0.043886402674752856,-0.23168626640983353,0.06903491250117678,0.12479375567450283,0.16249458124725577,0.0686217216851998,0.03181756183188734,-0.013956119610239213,-0.14571729209196843,-0.0750295108070739,-0.13102920138750632,-0.05815471259612593,-0.020525414625678775,-0.018411464632921943,-0.05453963628433258,-0.06476057617902815,0.10544207243146594,-0.03614212657387486,-0.2703417321200598,,-0.045655486150655566,,0.11765524906766789,-0.08396965855480554,-0.06268350714572957,0.051523345503348104,-0.03487427731301864,-0.07131860050787868,-0.006915593644406613,-0.006142181896089322,,,,0.6653078355294628,-0.04206858553742108,,,,,,,,,,,,,,,,,,,,,,,,,-0.027715956586725442
EquipmentType,-0.09191685643270894,0.349417161297157,0.02188652567710335,,0.23287237309981607,0.32847038609163737,-0.1398352152340082,1.0,-0.02906667377998247,0.0431501500628999,0.026514906742681005,0.8246828896364979,0.8246825229728407,0.150291120386542,0.042636536932368935,0.2776107196742944,0.06542383900061115,0.008133976935083973,,,,0.1884788131011302,-0.025955426110432122,0.09445844867548495,-0.008982298902843414,0.028775631743555075,-0.03222457846510215,-0.026190612701262266,,,,,,-0.06742820062708266,,0.0011797241067249761,0.04568066929688647,,0.04320438630858033,0.1593696009235792,-0.22645042969435228,-0.23620671294834245,-0.003318397354607961,0.04489582277646341,0.09063620749693721,0.07254301391706063,0.00349923212303053,-0.0939834404036261,0.001397351588527231,0.010512657705688207,0.3102208171728951,0.17684707873098202,0.8347111861058063,0.012489141966447239,0.09926985812123526,0.16927851103588426,0.12943220187178775,,-0.1860938832940846,,-0.038677146788999334,0.1520489113254873,0.06172285095328603,-0.1425549271436703,-0.0031350299202796026,0.05741332604534111,-0.11271212761823654,-0.0608343936343969,,,,-0.07808372433406582,0.0591594327234191,,,,,,,,,,,,,,,,,,,,,,,,,0.32077841000880136
EquipmentLength,0.011198852732428754,-0.04180729703446042,-0.0161197060922807,,-0.024252993314993383,-0.06770737806101201,-0.030110366151464674,-0.02906667377998247,1.0,-0.04772595776520574,0.017849352173760064,0.05559783169762457,0.05560188605969042,0.019741881544411057,0.05135521431575348,0.02197485693084448,-0.35383097096485594,-0.09227198466505365,,,,0.02603654444870024,0.01601224422776997,-0.020702023013175586,-0.030803166600793647,0.036046628635842265,0.011051059491890062,-0.026914450880798916,,,,,,0.023123748767356157,,-0.2470936092896986,-0.07847302434061561,,0.01809285174312792,0.05479625073872579,-0.004207197920424076,0.024930778543058214,0.011057423826460544,-0.007030637904932105,0.017346808503692274,0.02543999603802013,0.010616504459319604,-0.006933667001124195,-0.05948118709301926,0.024001177483741996,0.010101980257034933,0.008200176201059624,0.03033835110826361,0.018182936961590554,-0.018659830795739487,0.029165537612238106,-0.0245544465524057,,0.06381882008439181,,0.060161393664675815,-0.031124788036543848,0.035499978764880064,-0.004793515174558914,-0.02064035961285882,0.07491021000113347,-0.028685025643938235,-0.012833391657208884,,,,-0.018872780638489885,0.02728055539188286,,,,,,,,,,,,,,,,,,,,,,,,,0.016940979106073076
EquipmentWidth,-0.21185845600308842,-0.04693864299009509,-0.0703257324565531,,0.1502387055197453,-0.016824344822613,-0.06513100905103866,0.0431501500628999,-0.04772595776520574,1.0,0.8040925905234336,0.06734998526255678,0.0673254850251523,0.08047228846412254,-0.03330789842916197,0.16414463307993366,0.09195778907899374,0.14836749136382532,,,,-0.06060077643192909,-0.013726585899694629,-0.05391423823536941,0.04342033994835921,-0.0015807021188732216,0.10528640095507229,0.028833262578632144,,,,,,-0.038596681150719826,,-0.010638713701532944,0.09287865752999856,,-0.030199429896184963,0.06730870547643325,-0.1687521537130819,-0.06401562205591343,0.02154303144418527,0.045550865854503166,0.08559950841445955,0.06594031563904648,0.06361656002962705,0.07315418764561017,0.0058108383837200675,0.0420666604860048,0.11841402419083004,0.04295209085559741,0.06348841426424902,-0.03034979437593978,0.06797945024125511,0.13752390222108152,0.0992531835485468,,-0.10652228905417538,,-0.1280545938124052,0.05244123211666462,0.07008380174216207,0.02744701046013894,0.08635791418899408,0.004824572793485424,0.08111502058603375,0.07327676621927283,,,,-0.05495615008740325,0.03082607032022374,,,,,,,,,,,,,,,,,,,,,,,,,0.10732721837111903
