,Mode,ProgressType,Type,StateType,LoadingPosition,Plan,ShipmentType,EquipmentType,EquipmentLength,EquipmentWidth,EquipmentHeight,MinTemp,MaxTemp,TotalValue,Miles,TotalWeight,Tarps,Repeat,TankerUnload,TankerVolume,TankerVolumeUnit,NumStops,TotalPallets,LoadCommodityMasterLinkID,Concealed,Team,Private,Rolled,TankerContainer,TankerLiquid,TankerFood,TankerReefer,TankerHazMat,Hot,Liquor,TWIC,TMSPrivateCarrier,Govt,HRHV,Seal,OriginFacilityID,DestinationFacilityID,OriginCityID,GeneralOriginCityID,DestinationCityID,GeneralDestinationCityID,OriginLatitude,OriginLongitude,DestinationLatitude,DestinationLongitude,TotalRateUSD,NormalizedRank,Normalized_EQ,BizUnit,BookType,BuildType,SalesStatus,IsCustomerHighPriority,IsCommodityStackable,CommodityID,TimeTravel,TimeNegotiate,LoadDate-Weekday,LoadDate-Month,LoadDate-Day,DelDate-Weekday,DelDate-Month,DelDate-Day,CreateDate-Weekday,CreateDate-Month,CreateDate-Day,MXCrossBorder,CACrossBorder,Volume_Last_30,Avg_Cost_Last_30,Avg_Rate_Last_30,NTIBooked,NTIAssumed,TenderVolume,S/D Ratio,Avg_Weight_Last_14,Avg_Dist_Last_14,USD/Mile,Avg_Cost_Last_14,Avg_Rate_Last_14,Cost_Volatility_Last_14,Rate_Volatility_Last_14,TRUCKD11,DJTA,DTB3,GASREGW,IPG2122N,IPG3361T3S,GDP,PPIACO,BUSINV,PCU48414841,TotalCostUSD
Mode,0.6966543092596797,0.09062287284836046,0.00029221896357167765,0.034612499553101195,0.17275663281817089,0.07049598931807655,0.09837055699417263,0.20184337681986841,0.043769335877780424,0.02679099284719655,0.0044682694665576506,0.02056637691219576,0.038551661703273066,0.14400464046593697,0.04978876200352822,0.47096176613689833,0.004692437398124749,0.09097083840286846,0.0,0.02648469416779875,0.00811308505297692,0.050342718925146634,0.4387252788321594,0.09803971036742265,0.014000517897346576,0.008729307989859159,0.0,0.0,0.005012043061253024,0.01118348327373031,0.02661122418327544,0.0,0.0,0.03148433759846281,0.0,0.011147248061240234,0.007992241354961571,0.0,0.0,0.05324750792232136,0.21227977824879263,0.14705343269560256,0.1645154513034901,0.15520657079942968,0.040231887319969184,0.04718824632536722,0.17834554852029139,0.17787813786008067,0.050363099055527716,0.06389995019695238,0.34474065262282094,0.026011977169625666,0.09594105795950947,0.013487201156831219,0.0,0.139041672333867,0.08199217192829833,0.0,0.11695487741849853,0.0,0.13340811971883326,0.13314242333772675,0.08582824684397217,0.0,0.1351722826674222,0.028138996302632613,0.03474189287530827,0.03508390259401484,0.0,0.0,0.013140033194178002,0.03132192275560808,0.0,0.0,0.0,0.02119357596107463,0.0012913069642976893,0.019311502096750033,0.009919967935293705,0.01075905113107023,0.05535666021328023,0.0034227496242804634,0.055613635491638114,0.0,0.027920904795782242,0.0,0.0,0.0,0.0,0.03072615101408882,0.001307805387774863,0.0,0.0,0.0,0.0028995986956887876,0.0,0.0,0.337819703154864
ProgressType,0.10917860452770523,0.17503340581349036,0.0,0.008440331069603957,0.01817486873469054,0.07838756238995881,0.0,0.08502992246017094,0.0,0.0115584059798719,0.02562752931980583,0.0,0.0,0.019721708900929613,0.018775509206491847,0.017629947731741202,0.019063720759623592,0.0077853320021921135,0.02399128812862994,0.0,0.005794431583233894,0.1237656530639466,0.0,0.0,0.0007122269170434237,0.0,0.0036475808085656425,0.05064278161945701,0.0,0.0,0.0,0.0012361557851079397,0.0,0.0,0.010302532209058413,0.004222779713640712,0.0,0.0,0.00690675602276869,0.0,0.02021132704913664,0.018494658130161712,0.02891575727222717,0.023049490962903985,0.008408951561344358,0.004295632403064964,0.023986185150834727,0.008744085159847259,0.00995415620810225,0.01274075674619013,0.07666945042242479,0.009583649258408045,0.0,0.0,0.0407964371892815,0.028599992070768465,0.0,0.0026993923875346937,0.0,0.02801309646963901,0.039720395604952774,0.008863173004861835,0.0,0.0,0.04699633237588685,0.0,0.03386781672016426,0.013800227479356497,0.0,0.006420710190024437,0.0,0.01767722202743638,0.0,0.0,0.0,0.0,0.0,0.05552557820857107,0.0,0.031014250959339407,0.0,0.005896079425232514,0.022398427237028784,0.0290530433848053,0.03576964281008532,0.0,0.0,0.0,0.015619065518595932,0.0,0.00610906870077077,0.0,0.0,0.0,0.0,0.03300592605189312,0.0,0.055104789542931965
Type,0.0,0.0,0.33328331014558676,0.0,0.0,0.0,0.0988420746541534,0.023623176290312742,0.012996562807562118,0.00808911710162663,0.0,0.010939593792604452,0.0,0.05501880471715559,0.0017536568412410691,0.01902309750691611,0.01462551856137928,0.0014254471708246008,0.0,0.02039963859147953,0.0,0.023532953060513062,0.017990241642225513,0.02549882594920705,0.0,0.012505602680259909,0.0,0.017394913745290452,0.0,0.01638597147852039,0.0031548994509442707,0.0,0.03192697592251559,0.0,0.015564177367700438,0.028860079516301873,0.0019134648958947231,0.03888359589014723,0.0,0.00532501705206645,0.099857744769692,0.06251540429426905,0.07205649543297987,0.07727099314861463,0.0691153381242442,0.05282208354614126,0.06779254512440547,0.06187735370140346,0.03364681963842542,0.061747093508770945,0.0785560482284795,0.06748232928193909,0.031150660594676527,0.050775983889005616,0.0,0.0,0.11585106933768019,0.0,0.01689922140364386,0.0,0.03064947801341722,0.02172969265740221,0.06388552980204398,0.012642456156471749,0.009191234394195558,0.03332195498589563,0.0,0.029244765884860247,0.0,0.012740559350708835,0.005123988492069742,0.014744910618838869,0.0,0.00868360628468956,0.05529429243773887,0.03666945783084685,0.0,0.0283921021945579,0.0,0.0,0.0022439853450357816,0.0,0.0,0.0035899217950152718,0.0,0.0,0.0,0.013768858375456716,0.005138127861537889,0.0017705429564749409,0.02359688537646054,0.007054562361851424,0.03407688189469482,0.013417645565611203,0.0,0.0,0.0,0.05140494799644646
StateType,0.013186552562243214,0.007071619421767039,0.05015899004356328,0.0,0.02360964966122303,0.0,0.013256378752978026,0.0,0.00932442636265085,0.0,0.03543384017685414,0.007164044441310136,0.051022685953935554,0.047540294508155334,0.0,0.0,0.0,0.03339428237118014,0.003919424435351093,0.0009507504587267235,0.0,0.0,0.00688513910337063,0.005662971108322257,0.031669052499719186,0.0028811039026925833,0.0,0.0,0.0,0.003180812207645989,0.0,0.0,0.001298679902512312,0.0,0.0,0.005164815338336126,0.0,0.0,0.0,0.05627641281428453,0.0,0.0,0.0,0.0030845536033496934,0.00895864244452138,0.0013522351753486594,0.0010271011172874323,0.0004264285148127822,0.004056559232940016,0.0,0.007044903742625563,0.0,0.005761346888038421,0.006141321936773192,0.0,0.009104775310110114,0.0,0.0,0.003149271752446836,0.0,0.025958816323399247,0.0,0.006797515952820632,0.0,0.0,0.029785049962498977,0.0,0.008424401916397262,0.0,0.0034034244365064303,0.025857207595255005,0.01119279215923763,0.0,0.0,0.06626528346991867,0.010428771333109044,0.0,0.0,0.044183626719664915,0.0,0.0022823655524457642,0.0,0.00722640164567645,0.015564627586580837,0.008698288251581143,0.011133987258618472,0.0,0.0,0.027384043018363613,0.0,0.0014295921936771094,0.01976153532072278,0.0,0.0,0.0,0.0,0.01232360277256328,0.0
LoadingPosition,0.209336984571026,0.022937686615762676,0.0,0.008157509240708016,0.5228695112372543,0.015088391665077694,0.1727645553945214,0.045625526877829614,0.011251946114651634,0.03532776867745824,0.0,0.0,0.0,0.23567958144954737,0.036839545902633164,0.16814857763771007,0.028122770781292772,0.017988442267634408,0.0,0.0,0.026277176402965452,0.03399779193927266,0.2275647601541535,0.03852813459737625,0.0,0.03798570291233894,0.00043060572231468086,0.0,0.016351859608493946,0.01870988844629995,0.014673190712651163,0.010388107903783528,0.0,0.0,0.02416675207285035,0.0,0.0,0.0,0.012302046915436904,0.054321587600874466,0.18294970822253243,0.16007128440696916,0.0933184954811066,0.0970885715400116,0.02799052142241698,0.031379651796836106,0.09575255275350192,0.1054219148539084,0.022881571374720133,0.04451520089919225,0.1772147928199801,0.056223608818530835,0.016961775889411612,0.030292044216868597,0.0,0.0921077520756235,0.0,0.009101889292781884,0.0,0.0,0.03487881859391262,0.08644171005504697,0.054158867370407204,0.0,0.07300531957683365,0.025956441710810463,0.03787148913014571,0.026813274913953133,0.0,0.01255508191148813,0.0,0.0,0.0,0.007740827955323937,0.0003752970087367302,0.05143107427314231,0.0,0.0,0.024525236091461622,0.0,0.0010410353362795277,0.0,0.04485448366237854,0.0047195687585057655,0.0,0.0,0.005318001548434204,0.0024665847839084876,0.018465858213469133,0.039697874084540175,0.009200892734204658,0.006529392618981333,0.0,0.0,0.00035583241339143257,0.013815396553114923,0.0,0.15702036847333334
Plan,0.174763744476091,0.11546787831176974,0.024699802107780666,0.02810150487375962,0.0,0.1581376820190754,0.02441002283771665,0.1118220639261045,0.0,0.0,0.0009624995691548399,0.024740788398613933,0.0,0.0,0.023805551796481472,0.033641136694790186,0.0,0.0,0.0,0.016445504162921232,0.0,0.05263460845568302,0.006271347116080239,0.030620583289628467,0.01002441966557388,0.0,0.022328467545364994,0.004002532517859425,0.0,0.0100433272390279,0.0,0.0,0.0,0.018782073174314018,0.0,0.015547142432476235,0.0,0.03572785487975061,0.0,0.0,0.035421459851129766,0.002810588634063249,0.030880666227957043,0.03861251812057431,0.0,0.00412358470383456,0.014774352122449708,0.01223202833130177,0.022905694476195837,0.002355137191240697,0.033097479322250045,0.0,0.0,0.009098003132460786,0.0,0.0,0.006332107120144759,0.005662296280818602,0.008822309054133726,0.015195591104843142,0.030675534764414092,0.00036310021063523656,0.0,0.0,0.0,0.019891864436988982,0.0,0.0,0.0,0.007652510545331559,0.0,0.053272361676913516,0.0,0.0,0.011779503778496458,0.013481037202423884,0.0,0.0,0.0,0.05242533404673688,0.01188459629319416,0.0011454434983968476,0.0,0.0,0.0,0.0,0.0,0.03370436216390216,0.012735568707053613,0.0,0.04846451910264582,0.029939534757242203,0.03491281828991344,0.0,0.0,0.0,0.01588826437897861,0.05716916590432519
ShipmentType,0.06975958923354098,0.013421724671415891,0.04886730533914285,0.05249208711138298,0.2289487826763259,0.0,0.9793227267066724,0.09677849215680956,0.0,0.018403301822241147,0.018211462258117983,0.037431863430454904,0.0,0.1747900619281766,0.08504597133997605,0.1244897027627383,0.06920725027507402,0.15955117335103441,0.036716480742778224,0.016345644572465012,0.0,0.019783690792746,0.08556520026513725,0.17436466090171399,0.0,0.0006731689954682096,0.0,0.0003090024683913839,0.0,0.0021746595470082397,0.0,0.0,0.012153915292905992,0.0,0.0,0.02393812986775945,0.0,0.0,0.038626125908118425,0.11946164607811127,0.22119717702995922,0.20681296744053657,0.1858949835634982,0.1817937748893308,0.13973045081782343,0.1272980121625793,0.18270260003664496,0.1782735022644113,0.1410173637009995,0.14720959034604353,0.20538581648441245,0.1613053160555582,0.08018066617279107,0.0,0.05966352307865819,0.03793786577160896,0.11670240875970617,0.0018123056064647258,0.0,0.0049278113344133345,0.04105817805921852,0.09155099047773829,0.05168133307512335,0.005002125936684809,0.11736311610772088,0.00856615326516641,0.03933345371220032,0.039752666052548236,0.00860677846184199,0.0,0.008758760207908445,0.08593978000687219,0.0,0.0,0.0,0.029464967595602687,0.055127914057373495,2.72222497939012e-05,0.0,0.01052953333290052,0.019506668037905683,0.002639410826851929,0.020376740608623045,0.0,0.001359371473562021,0.0032162358348797326,0.0,0.0,0.0,0.0,0.018452144962120443,0.03308465803562566,0.017683317764364048,0.0,0.002748049390679519,0.01816412963856262,0.007898701963465982,0.13026819881556317
EquipmentType,0.231042811686474,0.10080811249886246,0.0,0.015606103041377217,0.06978486961076324,0.10866702968580988,0.0653890011865288,1.2496161695797054,0.10908815520735526,0.0,0.0,0.3201356098873589,0.3929403540731875,0.1302475462192212,0.10630419774912703,0.2902797402447699,0.1620429219165942,0.0,0.024776853307554525,0.026699342418155858,0.012436262118147745,0.07978623626121895,0.13178811805491852,0.008724223147814847,0.016481878757643287,0.025474794226269637,0.0,0.06628555344815723,0.0,0.01483222451761712,0.0,0.0,0.0,0.0,0.0,0.0,0.012970991634890794,0.0,0.017899998997433997,0.0464412481862011,0.23675693587517577,0.1516244214382143,0.2195076281849342,0.22050113080075873,0.14140421224541866,0.13513236737963163,0.21460710553590223,0.21634078231559895,0.1150717550162812,0.13079045048745175,0.18614723826353097,0.030810955836885867,0.7392639096339564,0.03192096226287422,0.026321816506999607,0.0287487483663611,0.03469733598233615,0.0,0.03190645704732109,0.0,0.06722588971815746,0.1372505760698517,0.0496494522896076,0.0,0.14383295168645427,0.040525744884112314,0.03549299619226698,0.14886722658726237,0.008572579565927718,0.01833674620149406,0.0,0.02917453809971704,0.02119473064190558,0.0,0.005622074973221203,0.014109129133214715,0.0,0.0023063346078737723,0.02428817684653417,0.023779148684017315,0.005264274493755217,0.02237993644971148,0.05636063301791605,0.0,0.021599369341337216,0.0,0.0,0.06419180613716424,0.0,0.01839167430412303,0.03203269341253456,0.0033712545630493196,0.01191042636106765,0.003006155928261478,0.01806944715862624,0.0,0.003151875761941092,0.12637426032206833
EquipmentLength,0.007180484188645586,0.0061125083557076465,0.0,0.0,0.0,0.0,0.0,0.10402356097433252,0.3867449680744781,0.01259526867933669,0.0,0.02501284620720856,0.0,0.023578786979170374,0.009988016284717016,0.03351805683904807,0.0455615151708324,0.04914579436915201,0.04020339512187476,0.0,0.0,0.012161878220694256,0.047484763853406164,0.01847286498270062,0.0,0.004008149273867723,0.03055251836238604,0.021188017853268626,0.019214441782922087,0.0,0.0,0.0,0.0,0.0,0.005647783099536063,0.0,0.0,0.0,0.0,0.0018163517763465364,0.04140483211939583,0.016352772461079246,0.05200743675522124,0.025014261554557216,0.00793475497256857,0.022367121974242954,0.0363951256164774,0.045686083671887534,0.018766078381919682,0.013076553400742874,0.014220832177663567,0.026876105229735714,0.06215521100413213,0.030793417081503627,0.0,0.027920384173964585,0.0,0.0,0.01955600415728309,0.0,0.0,0.0038587229809987633,0.02886438677889025,0.0,0.0,0.0,0.0,0.02358221115971748,0.0,0.023182393590960082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007181886785930125,0.0,0.003768108915584989,0.0,0.021178179401336372,0.007968250824123224,0.005475780425959975,0.030400884725239052,0.0,0.0,0.0,0.015406681017632984,0.015640263443461144,0.0,0.0,0.004705901108911448,0.022098434442281878,0.004386773697477864,0.0,0.0037113118242844134
EquipmentWidth,0.03161229936777188,0.03177841029448114,0.013385458023214891,0.0,0.015693856880687918,0.0,0.008726203307449776,0.0,0.01690525906749185,0.33519847726100993,0.1872726345553044,0.0,0.0,0.03905294813718374,0.012438348691208079,0.03974407253585355,0.0012496943184161502,0.0016827797088501129,0.013011265031529717,0.0,0.0,0.0,0.007809345832135328,0.0,0.0,0.0573083435270525,0.0,0.004733966487081798,0.01643883989898942,0.04771459004561329,0.0,0.0,0.014847329567689194,0.0,0.010907422377484544,0.009474905332417904,0.013097601137632253,0.0,0.0,0.0,0.06857748812686881,0.04366987043912918,0.07041142685090773,0.07194185881549786,0.030714026710951137,0.019421074788418702,0.030627927009549527,0.05983546507133575,0.046951871315755955,0.024143140213206626,0.01994581088723235,0.0,0.014875272646854398,0.004209382766760861,0.019152997637466473,0.03947495726715822,0.0,0.012742380752960969,0.0,0.008787775596282188,0.034439537403077036,0.01170990516252779,0.020888653314564465,0.0,0.0326340256243447,0.0,0.0,0.02177269650939495,0.015074575340443985,0.015419424828646555,0.009210637632471652,0.0,0.0,0.02144236082843065,0.0,0.0,0.0,0.0,0.011495115255170774,0.003322490019222357,0.02360111710287338,0.012309930002714964,0.0,0.0,0.0,0.0,0.0,0.03273449162108477,0.0017385193316634684,0.007538642365087611,0.0,0.0,0.006519086367828386,0.0,0.005483356810360718,0.016225125324438316,0.0,0.02220099458512892
