,OXO-5FI635C Augusta,OXO-5FI661A Augusta,OXO-5FI696 Augusta,OXO-5FIC132 Augusta,OXO-5FIC600 Augusta,OXO-5FIC601 Augusta,OXO-5FIC602 Augusta,OXO-5FIC603 Augusta,OXO-5FIC606C Augusta,OXO-5FIC607 Augusta,OXO-5FIC609A Augusta,OXO-5FIC609B Augusta,OXO-5FIC611A Augusta,OXO-5FIC612A Augusta,OXO-5FIC612B Augusta,OXO-5FIC618A Augusta,OXO-5FIC618B Augusta,OXO-5FIC618C Augusta,OXO-5FIC618D Augusta,OXO-5FIC622A Augusta,OXO-5FIC622B Augusta,OXO-5FIC622C Augusta,OXO-5FIC636A Augusta,OXO-5FIC636B Augusta,OXO-5FIC636C Augusta,OXO-5FQI691B Augusta,OXO-5LI633B Augusta,OXO-5LI650F Augusta,OXO-5LI651E Augusta,OXO-5LI651F Augusta,OXO-5LI652E Augusta,OXO-5LI652F Augusta,OXO-5LI653E Augusta,OXO-5LI653F Augusta,OXO-5LI654E Augusta,OXO-5LI655F Augusta,OXO-5LI656F Augusta,OXO-5LI657E Augusta,OXO-5LI657F Augusta,OXO-5LI658E Augusta,OXO-5LI658F Augusta,OXO-5PIC605A Augusta,OXO-5RIC606_Y Augusta,OXO-5TIC002 Augusta,OXO-5TIC601 Augusta,OXO-5TIC602 Augusta,OXO-5TIC603 Augusta,OXO-5TIC604 Augusta,OXO-5TIC605 Augusta,OXO-5TIC606 Augusta,OXO-5TIC607 Augusta,OXO-5TIC659 Augusta,OXO-_5FI658A Augusta,OXO-_5FI659A Augusta,OXO-_5FI660A Augusta,OXO-_5FI662A Augusta
OXO-5FI635C Augusta,3.3440441843062882,0.3224933626547699,0.4495790806354947,0.16881178385016993,0.22444570779346584,0.14151032524820595,0.23822813041106317,0.0,0.0,0.0,0.0,0.20645914154909129,0.03278880521147398,0.0,0.48898253519271107,0.16271718989399053,0.5126410409686764,0.48578162498192157,0.14531462900355718,0.0135982390838425,0.3560856565387347,0.6324864950539948,0.14251850213219264,0.10903036327403326,0.422046060762018,0.43654817355825015,0.08429673872785637,0.01827053018221747,0.391048286596809,0.046880268394621005,0.0,0.0,0.5877624936371881,0.5141560219188146,0.3410350924405767,0.3624955661571727,0.3901595262367019,0.26990456042657396,0.10579953810127263,0.11753676305692773,0.04002904835424248,0.0,0.4531588674421294,0.05279398794773149,0.2764189036549536,0.45017235324741733,0.25420959371998464,0.37772685185298727,0.18514743507476128,0.2711062501706736,0.33359980938391853,0.0,0.2981116722116699,0.37766953158867844,0.27949408663569564,0.30680813499424753
OXO-5FI661A Augusta,0.3224933626547699,3.3440441843062882,0.7183676137680495,0.4610065007563722,0.5448846679168193,0.5757024262759174,0.3871455747452348,0.0,0.005319725484177251,0.0,0.0,0.5205322415309972,0.07960681837559047,0.12784297264796907,0.8321749501708191,0.5641734730713073,0.6035944894307028,0.6043902657477802,0.0860928879918137,0.08394700368802566,0.8231082784507837,0.3749366597835584,0.2503054884164495,0.16330752184765895,0.4063969788610762,0.9048557688082104,0.48287451394528613,0.013600600912913485,0.842337492259039,0.01567849016697398,0.0,0.0,0.9389163021068461,0.9003496961516002,0.5776298144900753,0.7002315459305364,0.8096429665109723,0.5497392830357053,0.2206144088308708,0.3639001917837028,0.5519077326991493,0.0811463159152539,0.7141893570042099,0.05112605842980722,0.6834409190097137,0.6684274820227096,0.3035491059154949,0.6715304500614021,0.32487285454144077,0.6311299919263669,0.646122670791319,0.0,1.7935410681414075,2.062406750132947,1.648086743269396,1.6037811723504007
OXO-5FI696 Augusta,0.4495790806354947,0.7183676137680495,3.344044184306288,0.5021343720028795,0.4352373632931834,0.4493563562166156,0.7895705002283879,0.0,0.1723767468875259,0.0,0.0,0.7279297731220757,0.19454262071861894,0.14119781072050364,0.8275131305819077,0.786673725837657,1.0889993102150628,0.9493112489627573,0.19404196658625184,0.03591039615551894,0.6906800915946474,0.5375004414017139,0.38099311424744675,0.1301288509175671,1.29565418587296,0.9722336992182647,0.2446432278268973,0.03763487398078613,0.9901302745011704,0.384769241495178,0.0,0.0,1.1817919356121633,1.1693844167469996,0.8512837514617337,0.9770057685207625,0.9388251129675558,0.5769683187173369,0.275089242147311,0.2945924805844511,0.564625762383181,0.0719187224106248,0.799268571220006,0.059529628287979364,0.4438370975089625,0.7843897041024586,0.6233012639417486,0.6971894294795429,0.4288554154048967,0.5069705517789664,0.6159230099769655,0.015445833300938183,0.4976674354209636,0.5573434974254163,0.4479920612076107,0.5853289186433162
OXO-5FIC132 Augusta,0.1688117838501697,0.46100650075637195,0.5021343720028795,3.3240441843062882,0.16493898870791357,0.31695974431115936,0.4077493528823726,0.0,0.06859015358780529,0.0,0.0,0.4387805824616755,0.13095984430607466,0.2042703174671816,0.6546623582665527,0.6093220671861863,0.5389375533593384,0.4294389128223983,0.06758034327858176,0.09189028886053174,0.5277731783625483,0.19747895225977286,0.26504371341770394,0.23048151615151857,0.47526481878281124,1.1459998201732224,0.316011288472112,0.008800683613654492,0.8042708837612764,0.05980157774110184,0.05372734306044036,0.0,0.6948034134672256,0.7453454266060333,0.8160276123552042,0.39537537057990035,0.9295098738708665,0.19924390816616322,0.0759151893694805,0.19072776445405837,0.3541298479178896,0.11252773443008124,0.43577107138167026,0.016858578654991296,0.19466420955575847,0.34371431148929,0.318789784862588,0.31434265690117646,0.19072095826502888,0.29998923672657085,0.18873816896749407,0.0,0.46311591010166975,0.38296688370777887,0.5330885152681508,0.41411938405080373
OXO-5FIC600 Augusta,0.22444570779346584,0.5448846679168193,0.4352373632931834,0.16493898870791357,3.3440441843062882,0.6071069998576522,0.2845853131636491,0.0,0.22848120281184725,0.0,0.0,0.4218085270566383,0.3030130912727427,0.094608708738948,0.5233625703959857,0.45295194838991515,0.4777091351279421,0.446210841407916,0.01769566870501693,0.10743772575883259,0.4168961386524286,0.2617586483450087,0.3019877640329445,0.20652078650914563,0.44539718940588013,0.6908283541421998,0.4181635216606452,0.0,0.7657875174076758,0.18442825878635682,0.06300806372613543,0.0,0.9306740133619145,0.925454927456133,0.5102767047582604,0.46604432263567164,0.7837917050823688,0.5326496737440825,0.1544090951688757,0.40515744581267743,0.600479814163299,0.0,0.46807354212052,0.0,0.6421822507255674,0.6548881100545376,0.32475209473829736,0.5325504384065813,0.23704723379398507,0.5314562569196868,0.5866974742397213,0.0,0.5357421812827874,0.597373367477041,0.6068660959084968,0.47011324398937093
OXO-5FIC601 Augusta,0.14151032524820595,0.5757024262759174,0.4493563562166156,0.31695974431115914,0.6071069998576522,3.344044184306288,0.19738203818206035,0.0,0.21603404038631258,0.0,0.0,0.48707873372801114,0.17198843696586952,0.11500448351968018,0.7626538359187749,0.25199769985443865,0.5437235143837023,0.5762062706939797,0.0343662920777521,0.07736898016012361,0.5173406991649991,0.2517263120540143,0.2998999809524103,0.16434864555789463,0.45015653253454513,0.7767325350432781,0.5780658016377114,0.001384951225872122,0.9254472000904945,0.14058834509437768,0.0785156369442408,0.0,0.8910783481798363,0.878246313663708,0.6221532441768698,0.4823224005418678,0.8312754366891577,0.36311513408768326,0.46589270187895515,0.22343157512101897,0.6794800289255576,0.03605041480304605,0.5608945265921661,0.0,0.5366120349755348,0.842669962719989,0.4427559918491406,0.7320449863174869,0.3160562730007155,0.5695282703793634,0.6114835211187746,0.029688838099330983,0.6146990757292172,0.6615409141923014,0.561167712409057,0.5247428046064946
OXO-5FIC602 Augusta,0.2367666361581895,0.38714557474523503,0.790126055783944,0.4069373228071851,0.2860589973741745,0.19702489532491807,3.315044184306288,0.0,0.0,0.0,0.0,0.33838164654550074,0.08227652537934915,0.03655808413581996,0.7211263256619791,0.7081898692696647,0.6354590903109281,0.9251526331621875,0.0278738156282472,0.042891007349915355,0.6404080146726252,0.4385950827935674,0.12067740806524974,0.21755653905806982,0.7639881606458669,0.9127114647124053,0.29828349000596965,0.0,0.5901684248885011,0.21883584259670918,0.005140529070351008,0.0,0.8983721167726211,0.8474225088980558,0.9902905496818759,0.49036439365230633,0.5977627226451858,0.4005649150317061,0.06606820379709566,0.3293351547206087,0.15877937071306736,0.08655397690646582,0.5989446596740549,0.11398383720965244,0.4912374665622816,0.4133409824872585,0.43138639633217224,0.5275892485022613,0.46595159893111404,0.2924322692012624,0.32127791338635925,0.0510934794997544,0.4000946928887772,0.29600428557126257,0.22619854905646308,0.26114929288643873
OXO-5FIC603 Augusta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018590757745055253,0.07284577550385896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037091313651876456,0.0,0.0,0.013108542578789795,0.05445188739715823,0.0,0.0,0.0,0.08188132829055794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXO-5FIC606C Augusta,0.0,0.0016120910133845534,0.17604341355419262,0.06436035560800724,0.22727717949598114,0.21119580509219515,0.0,0.0,3.287544184306288,0.00030614370083981157,0.0001010101010088249,0.1693296015086876,0.9275343503505096,0.4248401825918995,0.11201020345913593,0.18226725152685974,0.3374931009106086,0.29064451001058966,0.0,0.2571903973112417,0.10498192560612596,0.09704789743646058,0.2746190346894073,0.2293217923789328,0.18749627779762168,0.2134604170212442,0.10184500044102718,0.00036141983368676023,0.34711491261213645,1.0003438629139376,0.1264734004657262,0.0,0.5210832499793168,0.5021007432501792,0.22427286909210586,0.35869064942681117,0.3130170927224256,0.06044521807493597,0.3628771402935165,0.3917441991886639,0.5137682804996082,0.03860099679689144,0.0,0.0,0.14011988550256094,0.2943259057794827,0.09768346609947454,0.09788691092552515,0.10395392108900214,0.12258503130026766,0.27420379361197655,0.0852481254812254,0.1969602790480014,0.12861485583266052,0.08340945712941794,0.08280165566092057
OXO-5FIC607 Augusta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1165216253100696,0.0,0.0,0.015987617741887172,0.0,0.0,0.0,0.0,0.0,0.021599213445151033,0.0,0.0,0.03446323131300111,0.012733886390453808,0.0,0.0,0.07160267646774243,0.03544670019536822,0.0,0.0,0.0,0.0763968416040286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
