Date,HPBH:221F003 Stanlow,HPBH:221F004 Stanlow,HPBH:221F008 Stanlow,HPBH:221F011 Stanlow,HPBH:221FT009 Stanlow,HPBH:221Q004 Stanlow,HPBH:221QT004 Stanlow,HPBH:221T017 Stanlow,HPBH:221T028 Stanlow,HPBH:221T034 Stanlow,HPBH:221T035 Stanlow,HPBH:221T036 Stanlow,HPBH:221T044 Stanlow,HPBH:221TT031 Stanlow,HPBH:221TT032 Stanlow,HPBH:221U829 Stanlow
2018-03-25 00:00:00,169.02507413793109,-76.03716666666669,38.82345,,,-0.25,,398.8292,,,,,,,,
2018-03-25 02:00:00,161.42687380952384,,38.82345,,,,,398.8273,,,,,,,,
2018-03-25 03:00:00,158.33490243902438,,,,,,,398.8269,,,,,,,,
2018-03-25 04:00:00,158.33986944444445,,,,,,,398.8303,,,,,,,,
2018-03-25 05:00:00,158.34154210526313,,38.82345,,,,,398.8329,,,,,,,,
2018-03-25 06:00:00,166.77753636363644,,,,,,,398.8242,,,,,,,,
2018-03-25 07:00:00,160.96645178571427,,,0.0,0.0,,-0.25,398.8208,7.309569,5.930519,7.710989,7.852149,0.0,12.15431,6.479804,0.0
2018-03-25 08:00:00,157.82458771929828,,,,,,,398.8278,,,,,,,,
2018-03-25 09:00:00,152.64271428571428,-200.0,38.82345,,,,,398.8236,,,,,,,,
2018-03-25 10:00:00,160.76054242424243,,,,,-0.25,,398.8384,,6.8298,,,,,,
2018-03-25 11:00:00,165.25507111111105,,,,,,,398.8294,,,,,,,,
2018-03-25 12:00:00,168.41035,,,,,,,398.8215,,,,,,,,
2018-03-25 13:00:00,150.40995714285714,,,,,,,398.8384,,,7.61296,,,14.66204,7.897258,
2018-03-25 14:00:00,144.55752325581395,,,,,,,398.8208,,,,,,,,
2018-03-25 15:00:00,124.15636622641506,,,0.0,0.0,,-0.25,398.8234,8.863896,9.627035,,7.951534,0.0,,,0.0
2018-03-25 16:00:00,108.33077730769229,-200.0,,,,,,398.821,,,,,,,,
2018-03-25 17:00:00,167.20251249999998,,,,,,,398.8216,,,,,,,,
2018-03-25 18:00:00,157.17355625,,38.46887,,,,,398.8223,,,,,,,,
2018-03-25 19:00:00,170.16195833333333,,,,,-0.25,,398.8256,,,,,,,,
2018-03-25 20:00:00,165.6392951219512,,,,,,,398.8287,,,9.410012,,,12.49648,9.441269,
2018-03-25 21:00:00,168.9573642857143,,,,,,,398.83,,,,,,,,
2018-03-25 22:00:00,168.23142884615385,,,0.0,0.0,,-0.25,398.8208,8.443809,7.932602,,8.614161,0.0,,,0.0
2018-03-25 23:00:00,158.85861956521742,,,,,,,,,,,,,,,
2018-03-26 00:00:00,167.0351833333333,-200.0,,,,,,,,,,,,,,
2018-03-26 01:00:00,159.33962000000005,-200.0,38.46887,0.0,0.0,-0.25,-0.25,398.82125,7.771669333333333,6.869241333333334,8.375348333333333,8.238677,0.0,11.98869,7.871945666666666,0.0
2018-03-26 02:00:00,162.02646415094333,,38.46887,,,,,398.8208,,,,,,,,
2018-03-26 03:00:00,160.0043620689655,,,,,,,398.8209,,,,,,,,
2018-03-26 04:00:00,157.24469473684212,,,,,,,398.8239,,,,,,,,
2018-03-26 05:00:00,158.11062280701756,,,,,,,398.822,,,,,,,,
2018-03-26 06:00:00,148.34897758620696,,,,,,,398.8208,,,,,,,,
2018-03-26 07:00:00,154.39475416666662,,,,,,,,,,,,,,,
2018-03-26 08:00:00,153.24193103448275,,,,,,,398.8208,,,,,,,,
2018-03-26 09:00:00,152.65294909090906,-200.0,38.46887,0.0,0.0,,-0.25,398.8342,6.301354,4.908179,6.142653,6.063046,0.0,12.7871,5.695138,0.0
2018-03-26 10:00:00,157.9142139534884,,,,,-0.25,,398.8258,,,,,,,,
2018-03-26 11:00:00,164.11681081081082,,,,,,,398.8367,,,,,,,,
2018-03-26 12:00:00,151.06777727272723,,38.46887,,,,,398.8384,,,,,,15.65107,,
2018-03-26 13:00:00,158.28929999999997,,,0.0,,,,398.8384,,,,,,,,
2018-03-26 14:00:00,158.28812173913047,,38.11099,0.01766196,,,,398.8286,,,,,,,,
2018-03-26 15:00:00,141.88047674418607,,,0.02147005,,,,398.8384,,11.03275,,,,,,
2018-03-26 16:00:00,163.2468490909091,-200.0,,0.02451162,0.0,,-0.25,,8.989933,,8.462477,8.547905,0.0,,11.13716,0.0
2018-03-26 17:00:00,158.5225333333333,,,0.02487963,,,,398.8384,,,,,,,,
2018-03-26 18:00:00,,,,0.02487966,,,,398.8232,,,,,,,,
2018-03-26 19:00:00,170.35859285714287,,,0.02487966,,-0.25,,398.8281,,,,,,,,
2018-03-26 20:00:00,166.39511999999996,,,0.004213578,,,,398.8315,,,,,,13.81363,,
2018-03-26 21:00:00,159.21507499999998,,37.74973,0.01001736,,,,398.8297,,,,,,,,
2018-03-26 22:00:00,156.62583018867923,,,0.002056842,,,,398.8382,,10.98069,,,,,,
2018-03-26 23:00:00,163.4298441860465,-200.0,,0.0001206674,0.0,,-0.25,398.8379,9.956133,,9.704078,,0.0,,,0.0
2018-03-27 00:00:00,157.9333,,,0.004156748,,,,398.8382,,,,9.47558,,,11.49152,
2018-03-27 01:00:00,167.7800125,,,0.0,,,,398.8342,,,,,,,,
2018-03-27 02:00:00,169.71911470588236,,,,,,,398.8208,,,,,,,,
2018-03-27 03:00:00,170.6072234042554,,37.74973,,,,,398.8254,,,,,,11.08559,,
2018-03-27 04:00:00,161.75734827586206,,,,,-0.25,,398.8324,,,,,,,,
2018-03-27 05:00:00,163.63135454545454,,,,,,,398.834,,7.885272,,,,,,
2018-03-27 06:00:00,160.6103586206897,,,,,,,398.8347,,,,,,,,
2018-03-27 07:00:00,158.2973351851852,-200.0,,,0.0,,-0.25,398.8337,9.199977,,9.115957,8.945476,0.0,,8.808482,0.0
