,TotalCostUSD,Mode,ProgressType,Type,StateType,LoadingPosition,Plan,ShipmentType,EquipmentLength,EquipmentWidth,EquipmentHeight,MinTemp,MaxTemp,TotalValue,Miles,TotalWeight,Tarps,Repeat,TankerUnload,TankerVolume,TankerVolumeUnit,NumStops,TotalPallets,LoadCommodityMasterLinkID,OriginLatitude,OriginLongitude,DestinationLatitude,DestinationLongitude,TotalRateUSD,CommodityID,TimeTravel,TimeNegotiate,LoadDate-Month,LoadDate-Day,DelDate-Month,DelDate-Day,CreateDate-Month,CreateDate-Day,Volume_Last_30,Avg_Cost_Last_30,Avg_Rate_Last_30,NTIBooked,NTIAssumed,TenderVolume,S/D Ratio,Avg_Weight_Last_14,Avg_Dist_Last_14,USD/Mile,Avg_Cost_Last_14,Avg_Rate_Last_14,Cost_Volatility_Last_14,Rate_Volatility_Last_14,TRUCKD11,DJTA,DTB3,GASREGW,IPG2122N,IPG3361T3S,GDP,PPIACO,BUSINV,PCU48414841
0,423.82,2,8,1,1,0,0,1,53,0,0,-9999,-9999,100.0,554,1044,0,0,0,0,1,2,1,2,39.541,-119.753,34.055,-117.652,402.46,0,3,0,12,16,12,19,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
1,1300.0,1,8,1,1,2,0,1,53,0,0,-9999,-9999,100000.0,525,7000,0,28298094,0,0,1,2,30,1,42.79,-77.517,36.982,-76.632,1656.8,0,1,4,12,20,12,21,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
2,300.0,1,8,2,1,2,0,5,48,0,0,-9999,-9999,20000.0,121,35000,11,0,0,0,1,2,12,2,23.6,-100.67,23.6,-100.67,809.86,0,1,3,12,19,12,20,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
3,873.0,1,8,1,1,2,0,1,48,0,0,-9999,-9999,20000.0,93,40000,3,28292401,0,0,1,2,24,2,40.318,-74.509,41.118,-73.418,1000.0,0,0,0,12,16,12,16,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
4,267.48,2,8,1,1,0,0,1,53,0,0,-9999,-9999,100.0,2260,225,0,0,0,0,1,2,1,2,35.735,-84.348,36.331,-119.312,314.68,0,5,0,12,16,12,21,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
5,264.28,2,8,1,1,2,0,0,53,0,0,-9999,-9999,100000.0,308,140,0,0,0,0,1,2,1,2,42.331,-83.042,40.172,-80.251,330.35,0,4,-1,12,15,12,19,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
6,335.92,2,8,1,1,2,0,0,53,0,0,-9999,-9999,100000.0,1261,320,0,0,0,0,1,2,1,2,42.331,-83.042,39.807,-104.934,419.9,0,4,-1,12,15,12,19,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
7,1563.88,2,8,1,1,2,0,0,53,0,0,-9999,-9999,100000.0,282,8100,0,0,0,0,1,2,4,2,42.331,-83.042,41.874,-87.651,1954.85,0,1,-1,12,15,12,16,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
8,3500.0,1,8,1,1,2,0,1,53,0,0,-9999,-9999,100000.0,2408,30000,0,28300112,0,0,1,2,28,1,32.114,-81.154,34.024,-117.96,4800.0,0,4,3,12,19,12,23,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
9,300.0,1,8,2,1,2,0,5,48,0,0,-9999,-9999,20000.0,121,35000,11,0,0,0,1,2,14,2,23.6,-100.67,23.6,-100.67,809.86,0,1,3,12,19,12,20,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
